,id,source_url,xiaoqu_url,total_price,unit_price,down_payment,monthly_cost,lat,lng
46,46,http://cq.lianjia.com/ershoufang/CQSP92412243.html,http://cq.lianjia.com/xiaoqu/3611060388358/,90,7615,27,3344,106.488975,29.560175
47,47,http://cq.lianjia.com/ershoufang/CQSP92372714.html,http://cq.lianjia.com/xiaoqu/3611058134956/,67,6980,20,2489,106.488975,29.560175
48,48,http://cq.lianjia.com/ershoufang/CQSP92414040.html,http://cq.lianjia.com/xiaoqu/3611060401147/,42,8077,12,1560,0,0
49,49,http://cq.lianjia.com/ershoufang/CQSP92404769.html,http://cq.lianjia.com/xiaoqu/3611063775981/,90,10159,27,3344,106.488975,29.560175
50,50,http://cq.lianjia.com/ershoufang/CQSP92418175.html,http://cq.lianjia.com/xiaoqu/3611063775981/,60,7229,18,2229,106.488975,29.560175
51,51,http://cq.lianjia.com/ershoufang/CQSP92384263.html,http://cq.lianjia.com/xiaoqu/3611059553461/,30,6123,9,1115,106.478402,29.557803
52,52,http://cq.lianjia.com/ershoufang/CQSP92079642.html,http://cq.lianjia.com/xiaoqu/3611060402684/,80,7921,24,2972,106.488975,29.560175
53,53,http://cq.lianjia.com/ershoufang/CQSP90417369.html,http://cq.lianjia.com/xiaoqu/3611060457172/,70,7955,21,2601,0,0
54,54,http://cq.lianjia.com/ershoufang/CQSP91080423.html,http://cq.lianjia.com/xiaoqu/3611058134956/,98,7314,29,3641,106.488975,29.560175
55,55,http://cq.lianjia.com/ershoufang/CQSP92046903.html,http://cq.lianjia.com/xiaoqu/3611060388358/,81,7500,24,3009,106.488975,29.560175
56,56,http://cq.lianjia.com/ershoufang/CQSP92054696.html,http://cq.lianjia.com/xiaoqu/3611058134956/,105,6442,31,3901,106.488975,29.560175
57,57,http://cq.lianjia.com/ershoufang/CQSP91903386.html,http://cq.lianjia.com/xiaoqu/3611058219010/,82,9319,24,3046,106.478968,29.563674
58,58,http://cq.lianjia.com/ershoufang/CQSP91992113.html,http://cq.lianjia.com/xiaoqu/3611058134956/,65,6373,19,2415,106.488975,29.560175
59,59,http://cq.lianjia.com/ershoufang/CQSP91848743.html,http://cq.lianjia.com/xiaoqu/3611060457172/,61,6778,18,2266,0,0
60,60,http://cq.lianjia.com/ershoufang/CQSP92067897.html,http://cq.lianjia.com/xiaoqu/3611060457172/,65,7472,19,2415,0,0
61,61,http://cq.lianjia.com/ershoufang/CQSP92019581.html,http://cq.lianjia.com/xiaoqu/3611058134956/,100,7875,30,3715,106.488975,29.560175
62,62,http://cq.lianjia.com/ershoufang/CQSP92416722.html,http://cq.lianjia.com/xiaoqu/3611060388358/,75,8523,22,2786,106.488975,29.560175
63,63,http://cq.lianjia.com/ershoufang/CQSP91635095.html,http://cq.lianjia.com/xiaoqu/3611063096059/,47,7967,14,1746,106.488975,29.560175
64,64,http://cq.lianjia.com/ershoufang/CQSP91705564.html,http://cq.lianjia.com/xiaoqu/3611060457172/,96,8276,28,3566,0,0
65,65,http://cq.lianjia.com/ershoufang/CQSP92053142.html,http://cq.lianjia.com/xiaoqu/3611060457172/,65,8553,19,2415,0,0
66,66,http://cq.lianjia.com/ershoufang/CQSP92420154.html,http://cq.lianjia.com/xiaoqu/3611058219010/,72,11429,21,2675,106.478968,29.563674
67,67,http://cq.lianjia.com/ershoufang/CQSP92418439.html,http://cq.lianjia.com/xiaoqu/3611060457172/,34,7907,10,1263,0,0
68,68,http://cq.lianjia.com/ershoufang/CQSP92389866.html,http://cq.lianjia.com/xiaoqu/3611060401147/,68,8718,20,2526,0,0
69,69,http://cq.lianjia.com/ershoufang/CQSP92412243.html,http://cq.lianjia.com/xiaoqu/3611060388358/,90,7615,27,3344,106.488975,29.560175
70,70,http://cq.lianjia.com/ershoufang/CQSP92372714.html,http://cq.lianjia.com/xiaoqu/3611058134956/,67,6980,20,2489,106.488975,29.560175
71,71,http://cq.lianjia.com/ershoufang/CQSP92414040.html,http://cq.lianjia.com/xiaoqu/3611060401147/,42,8077,12,1560,0,0
72,72,http://cq.lianjia.com/ershoufang/CQSP92404769.html,http://cq.lianjia.com/xiaoqu/3611063775981/,90,10159,27,3344,106.488975,29.560175
73,73,http://cq.lianjia.com/ershoufang/CQSP92418175.html,http://cq.lianjia.com/xiaoqu/3611063775981/,60,7229,18,2229,106.488975,29.560175
